Comunidades y Ciudades Autónomas;Grupo de edad;Periodo;Total
Ceuta;De 35 a 39 años;2023;62,13
Ceuta;De 35 a 39 años;2022;52,86
Ceuta;De 35 a 39 años;2021;57,85
Ceuta;De 40 a 44 años;2023;52,8
Ceuta;De 40 a 44 años;2022;54,17
Ceuta;De 40 a 44 años;2021;57,69
Ceuta;De 45 a 49 años;2023;62,42
Ceuta;De 45 a 49 años;2022;64,11
Ceuta;De 45 a 49 años;2021;64,55
Ceuta;De 50 a 54 años;2023;50,45
Ceuta;De 50 a 54 años;2022;60,48
Ceuta;De 50 a 54 años;2021;46,47
Ceuta;De 55 a 64 años;2023;61,33
Ceuta;De 55 a 64 años;2022;63,62
Ceuta;De 55 a 64 años;2021;63,66
Melilla;De 20 a 24 años;2023;26,93
Melilla;De 20 a 24 años;2022;23,31
Melilla;De 20 a 24 años;2021;21,31
Melilla;De 25 a 29 años;2023;59,84
Melilla;De 25 a 29 años;2022;51,18
Melilla;De 25 a 29 años;2021;38,39
Melilla;De 30 a 34 años;2023;62,92
Melilla;De 30 a 34 años;2022;52,88
Melilla;De 30 a 34 años;2021;60,08
Melilla;De 35 a 39 años;2023;57,7
Melilla;De 35 a 39 años;2022;66,63
Melilla;De 35 a 39 años;2021;68,97
Melilla;De 40 a 44 años;2023;57,17
Melilla;De 40 a 44 años;2022;56,08
Melilla;De 40 a 44 años;2021;64,27
Melilla;De 45 a 49 años;2023;54,37
Melilla;De 45 a 49 años;2022;70,16
Melilla;De 45 a 49 años;2021;72,19
Melilla;De 50 a 54 años;2023;52,62
Melilla;De 50 a 54 años;2022;63,78
Melilla;De 50 a 54 años;2021;66,99
Melilla;De 55 a 64 años;2023;55,41
Melilla;De 55 a 64 años;2022;53,55
Melilla;De 55 a 64 años;2021;50,49
